Name,source,country,site,strata,Label,Cover
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,MOB,1
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,SC,86
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,SHAD,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,CRB,2
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,MOB,2
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,SC,23
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,SHAD,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,MOB,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,SC,32
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,SHAD,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,MOB,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,SC,18
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,SHAD,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,MOB,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,SC,14
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,SHAD,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,MOB,10
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,SC,28
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,SHAD,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,MOB,15
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,SC,55
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,SHAD,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,MOB,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,SC,81
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,SHAD,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q09,visual,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q09,visual,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q09,visual,AR,PC,HT,CNTR,0
